cty;reg
BGD;APO_DMC
KHM;APO_DMC
FJI;APO_DMC
IND;APO_DMC
IDN;APO_DMC
IRN;APO_DMC
LAO;APO_DMC
MYS;APO_DMC
MNG;APO_DMC
NPL;APO_DMC
PAK;APO_DMC
PHL;APO_DMC
LKA;APO_DMC
THA;APO_DMC
TUR;APO_DMC
VNM;APO_DMC
BGD;Bangladesh
KHM;Cambodia
FJI;Fiji
IND;India
IDN;Indonesia
IRN;"Islamic Republic of Iran"
LAO;"Lao PDR"
MYS;Malaysia
MNG;Mongolia
NPL;Nepal
PAK;Pakistan
PHL;"the Philippines"
LKA;"Sri Lanka"
THA;Thailand
TUR;Turkiye
VNM;Vietnam
