nutrients;name
protein_g;'Protein'
vit_a_rae_mcg;'Vitamin A'
thiamin_mg;'Thiamin (B1)'
riboflavin_mg;'Riboflavin (B2)'
niacin_mg;'Niacin (B3)'
vit_b6_mg;'Vitamin B6'
folate_mcg;'Folate (B9)'
vit_b12_mcg;'Cyanocobalamin (B12)'
vit_c_mg;'Vitamin C'
vit_d_mcg;'Vitamin D'
vit_e_mg;'Alpha-tocopherol (Vitamin E)'
vit_k_mcg;'Vitamin K'
calcium_mg;'Calcium'
iron_mg;'Iron'
magnesium_mg;'Magnesium'
phosphorus_mg;'Phosphorus'
potassium_g;'Potassium'
zinc_mg;'Zinc'
